_id,Description,Sample Description,Sample No.,Date Sample Collected,Comments,Sample Matrix Code,Sample Matrix,Sample Type (comp./grab),Sample Collected by,Time Sample Collected,Temperature,Dissolved Oxygen,pH,E.Cond.,Secchi Depth,Salinity (Field),E. coli,Thermotolerant coliforms,Intestinal enterococci,Chlorophyll a,Chloro-a Phenophytin ratio,BOD5,Suspended Solids,Organic Carbon - Total,Ammonia as N,Nitrate + Nitrite as N,Phosphate as P,Total Nitrogen as N,Total Phosphorus as P,TKN as N (TN-NOX)
1,"","",,,"","","","","","",TEMPERATURE,DO,PH,E.Cond.,"",Salinity (Field),ECOLI,FAECAL_COLI_MF,ENTEROCOCCI,CHLOROPHYLL_A,"",BOD,SUSPENDED_SOLI,TOC,AMMONIA_N,NOX,ORTHO_P,TN_PERSULPHATE,TP_PERSULPHATE,TKN
2,Units,"",,,"","","","","","",oC,mg/L,pH Units,us/cm,m,ppt,cfu/100mL,cfu/100mL,cfu/100mL,ug/L,ratio,mg/L,mg/L,mg/L C,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
74,North Pine Mid-Field Monitoring,MFMP 2 - Surface,3,2014-06-18T00:00:00,"","","",Grab,Sampler 2,09:05:00,18,9,7.5,45000,1.2,28.9,15,17,6 EST,3.2,1,<3,4,13,0.041,0.043,0.066,0.43,0.09,0.38
75,North Pine Mid-Field Monitoring,MFMP 2 - 1.5m,4,2014-06-18T00:00:00,"","","",Grab,Sampler 2,09:07:00,18,10,7.6,47300,1.2,30.6,"","","","","",<3,"",9,0.025,0.032,"",0.39,"",0.36
76,North Pine Mid-Field Monitoring,MFMP 3 - Surface,5,2014-06-18T00:00:00,"","","",Grab,Sampler 2,09:26:00,18.3,6.2,7.4,43800,1.5,28.1,8 EST,8 EST,3 EST,2.1,1,<3,7,11,0.06,0.056,0.078,0.45,0.1,0.39
77,North Pine Mid-Field Monitoring,MFMP 3 - 1.5m,6,2014-06-18T00:00:00,"","","",Grab,Sampler 2,09:28:00,18.1,5.9,7.5,45200,1.5,29.1,"","","","","",<3,"",11,0.05,0.043,"",0.42,"",0.38
78,North Pine Mid-Field Monitoring,MFMP 4 - Surface,7,2014-06-18T00:00:00,"","","",Grab,Sampler 2,09:47:00,18.6,5.6,7.4,41300,1.4,26.3,12,15,3 EST,2.1,1,<3,5,10,0.072,0.063,0.1,0.49,0.13,0.43
79,North Pine Mid-Field Monitoring,MFMP 4 - 1.5m,8,2014-06-18T00:00:00,"","","",Grab,Sampler 2,09:50:00,18.1,5.8,7.5,45000,1.4,28.9,"","","","","",<3,"",11,0.064,0.051,"",0.44,"",0.39
80,North Pine Mid-Field Monitoring,MFMP 5 - Surface,9,2014-06-18T00:00:00,"","","",Grab,Sampler 2,10:08:00,18.6,8.9,7.4,40400,1.4,25.7,6 EST,10,7 EST,2.1,1,<3,3,11,0.076,0.066,0.074,0.46,0.1,0.4
81,North Pine Mid-Field Monitoring,MFMP 5 - 1.5m,10,2014-06-18T00:00:00,"","","",Grab,Sampler 2,10:10:00,18.3,9.7,7.4,43400,1.4,27.8,"","","","","",<3,"",10,0.08,0.055,"",0.44,"",0.38
82,North Pine Mid-Field Monitoring,MFMP 6 - Surface,11,2014-06-18T00:00:00,"","","",Grab,Sampler 2,10:24:00,18.4,5.2,7.3,40300,1.6,25.6,7 EST,7 EST,4 EST,2.1,1,<3,4,10,0.083,0.076,0.054,0.44,0.08,0.36
83,North Pine Mid-Field Monitoring,MFMP 6 - 1.5m,12,2014-06-18T00:00:00,"","","",Grab,Sampler 2,10:28:00,18.4,5.1,7.3,40700,1.6,25.9,"","","","","",<3,"",11,0.08,0.075,"",0.45,"",0.37
84,North Pine Mid-Field Monitoring,MFMP 7 - Surface,13,2014-06-18T00:00:00,"","","",Grab,Sampler 2,10:41:00,18.3,9,7.3,39600,1.5,25.1,5 EST,7 EST,7 EST,3.2,1,<3,7,10,0.065,0.082,0.053,0.42,0.08,0.34
85,North Pine Mid-Field Monitoring,MFMP 7 - 1.5m,14,2014-06-18T00:00:00,"","","",Grab,Sampler 2,10:44:00,18.2,9.8,7.4,40000,1.5,25.4,"","","","","",<3,"",11,0.071,0.081,"",0.44,"",0.36
86,North Pine Mid-Field Monitoring,MFMP 8 - Surface,15,2014-06-18T00:00:00,"","","",Grab,Sampler 2,11:05:00,18.4,8.9,7.3,37800,1.2,23.8,8 EST,10,5 EST,2.1,1,<3,9,10,0.06,0.082,0.049,0.44,0.07,0.36
87,North Pine Mid-Field Monitoring,MFMP 9 - STP Effluent,17,2014-06-18T00:00:00,"","","",Grab,Sampler 2,12:50:00,24.7,6.4,7.2,1090,"",0.5,14,17,1 EST,3.2,1,<3,<2,15,0.029,0.035,0.55,0.93,0.61,0.9
88,North Pine Mid-Field Monitoring,MFMP 1 - Surface,1,2014-07-31T00:00:00,"","","",Grab,Sampler 1,07:35:00,16.5,7.4,7.5,47700,1.6,30.8,20,17,4 EST,1.6,1,<3,7,15,0.021,0.012,0.043,0.31,0.06,0.29
89,North Pine Mid-Field Monitoring,MFMP 1 - 1.5m,2,2014-07-31T00:00:00,"","","",Grab,Sampler 1,07:45:00,16.9,6.5,7.7,32100,N/A,32.1,"","","","","",<3,"",13,0.02,0.011,"",0.27,"",0.26
